state_id,state_abbr,county_state_name,county_id,county_name,latitude,longitude,consolidated_city-county,population,population_cohort,employment,employment_cohort,doe_climate_zone,cohort,consumption (MWh),expenditures in Millions,consumption (MWh/capita),utility customers,GHG emissions mtons CO2e,consumption (TcF),consumption (TcF/capita),occuped housing units,buildings,area (sq. ft.),consumption (gallons),consumption (gallons/capita),vehicle miles traveled (miles),vehicle miles traveled (miles/capita),establishments
1,AL,"Autauga County, AL",1001,Autauga County,32.532237,-86.64644,null,55049,7,21580,5,3,30705,"315,398","39,864",6,"22,120","156,670","316,920",6,"20,800",null,null,"25,332,114",460,"740,266,187","13,447",null
1,AL,"Baldwin County, AL",1003,Baldwin County,30.659218,-87.746067,null,199510,11,122682,9,2,21109,"1,064,843","126,826",5,"127,891","528,947","273,012",1,"75,149",null,null,"116,066,055",582,"3,239,817,322","16,239",null
1,AL,"Barbour County, AL",1005,Barbour County,31.870253,-85.405104,null,26614,6,13613,4,3,30604,"136,098","17,085",5,"11,494","67,605","40,062",2,"9,122",null,null,"14,909,195",560,"391,131,704","14,696",null
1,AL,"Bibb County, AL",1007,Bibb County,33.015893,-87.127148,null,22572,5,6699,2,3,30502,"117,401","14,858",5,"8,738","58,318","99,056",4,"7,048",null,null,"11,806,243",523,"320,513,006","14,200",null
1,AL,"Blount County, AL",1009,Blount County,33.977358,-86.56644,null,57704,8,12557,4,3,30804,"328,466","41,577",6,"23,227","177,690","193,482",3,"20,619",null,null,"23,520,539",408,"673,272,458","11,668",null
1,AL,"Bullock County, AL",1011,Bullock County,32.101759,-85.717261,null,10552,3,3422,1,3,30301,"53,059","6,709",5,"4,345","26,357","31,638",3,"3,556",null,null,"6,186,642",586,"167,836,840","15,906",null
1,AL,"Butler County, AL",1013,Butler County,31.751667,-86.681969,null,20280,5,12211,4,3,30504,"117,812","14,944",6,"9,655","58,522","32,256",2,"7,675",null,null,"22,568,262","1,113","689,255,139","33,987",null
1,AL,"Calhoun County, AL",1015,Calhoun County,33.771706,-85.822513,null,115883,9,71664,8,3,30908,"648,757","82,123",6,"51,932","350,959","788,725",7,"45,071",null,null,"53,512,407",462,"1,453,111,884","12,539",null
1,AL,"Chambers County, AL",1017,Chambers County,32.915504,-85.394032,null,34018,6,12279,4,3,30604,"207,888","26,283",6,"16,463","103,266","153,560",5,"13,851",null,null,"20,775,028",611,"566,425,834","16,651",null
1,AL,"Cherokee County, AL",1019,Cherokee County,34.069515,-85.654242,null,25897,6,7709,3,3,30603,"162,897","20,819",6,"15,835","88,122","86,644",3,"10,999",null,null,"13,580,194",524,"362,839,833","14,011",null